image_name,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250529_163603290_0001.tiff,4.67524e-15,5.10978e-16,-1.99294e-14,2.04768e-14,-155.563,3.46323e-18,3.46323e-18,3.46323e-18,3.46323e-18,0.0756878
Basler_acA2040-35gm__23324651__20250529_163603290_0002.tiff,-1.6627e-14,1.93827e-14,2.43176e-14,3.52631e-14,-155.563,-1,-1,-1,-1,0.075611
Basler_acA2040-35gm__23324651__20250529_163603290_0002.tiff,-1.6627e-14,1.93827e-14,2.43176e-14,3.52631e-14,-155.563,-2.89187e-18,-2.89187e-18,-2.89187e-18,-2.89187e-18,0.075611
Basler_acA2040-35gm__23324651__20250529_163603290_0002.tiff,-1.6627e-14,1.93827e-14,2.43176e-14,3.52631e-14,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.075611
Basler_acA2040-35gm__23324651__20250529_163603290_0002.tiff,-1.6627e-14,1.93827e-14,2.43176e-14,3.52631e-14,-155.563,-1.09174e-17,-1.09174e-17,-1.09174e-17,-1.09174e-17,0.075611
Basler_acA2040-35gm__23324651__20250529_163603290_0003.tiff,-8.74032e-15,-1.32156e-14,5.69046e-14,5.90693e-14,-155.563,-1,-1,-1,-1,0.0822644
Basler_acA2040-35gm__23324651__20250529_163603290_0003.tiff,-8.74032e-15,-1.32156e-14,5.69046e-14,5.90693e-14,-155.563,-1.34852e-18,-1.34852e-18,-1.34852e-18,-1.34852e-18,0.0822644
Basler_acA2040-35gm__23324651__20250529_163603290_0003.tiff,-8.74032e-15,-1.32156e-14,5.69046e-14,5.90693e-14,-155.563,-6.67898e-18,-6.67898e-18,-6.67898e-18,-6.67898e-18,0.0822644
Basler_acA2040-35gm__23324651__20250529_163603290_0003.tiff,-8.74032e-15,-1.32156e-14,5.69046e-14,5.90693e-14,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.0822644
Basler_acA2040-35gm__23324651__20250529_163603290_0004.tiff,1.32708e-14,-1.66014e-15,8.04322e-14,8.15365e-14,-155.563,-1,-1,-1,-1,0.0722169
Basler_acA2040-35gm__23324651__20250529_163603290_0004.tiff,1.32708e-14,-1.66014e-15,8.04322e-14,8.15365e-14,-155.563,-2.10273e-19,-2.10273e-19,-2.10273e-19,-2.10273e-19,0.0722169
Basler_acA2040-35gm__23324651__20250529_163603290_0004.tiff,1.32708e-14,-1.66014e-15,8.04322e-14,8.15365e-14,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.0722169
Basler_acA2040-35gm__23324651__20250529_163603290_0004.tiff,1.32708e-14,-1.66014e-15,8.04322e-14,8.15365e-14,-155.563,-1.53275e-18,-1.53275e-18,-1.53275e-18,-1.53275e-18,0.0722169
Basler_acA2040-35gm__23324651__20250529_163603290_0005.tiff,-1.84406e-14,-7.92517e-16,-1.04881e-13,1.06493e-13,-155.563,1,1,1,1,0.0744042
Basler_acA2040-35gm__23324651__20250529_163603290_0005.tiff,-1.84406e-14,-7.92517e-16,-1.04881e-13,1.06493e-13,-155.563,2.51877e-18,2.51877e-18,2.51877e-18,2.51877e-18,0.0744042
Basler_acA2040-35gm__23324651__20250529_163603290_0005.tiff,-1.84406e-14,-7.92517e-16,-1.04881e-13,1.06493e-13,-155.563,2.53962e-18,2.53962e-18,2.53962e-18,2.53962e-18,0.0744042
Basler_acA2040-35gm__23324651__20250529_163603290_0005.tiff,-1.84406e-14,-7.92517e-16,-1.04881e-13,1.06493e-13,-155.563,2.05533e-18,2.05533e-18,2.05533e-18,2.05533e-18,0.0744042
Basler_acA2040-35gm__23324651__20250529_163603290_0006.tiff,-9.2896e-15,3.4037e-15,-9.23402e-14,9.28687e-14,-155.563,1,1,1,1,0.0791983
Basler_acA2040-35gm__23324651__20250529_163603290_0006.tiff,-9.2896e-15,3.4037e-15,-9.23402e-14,9.28687e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0791983
Basler_acA2040-35gm__23324651__20250529_163603290_0006.tiff,-9.2896e-15,3.4037e-15,-9.23402e-14,9.28687e-14,-155.563,1.29093e-17,1.29093e-17,1.29093e-17,1.29093e-17,0.0791983
Basler_acA2040-35gm__23324651__20250529_163603290_0006.tiff,-9.2896e-15,3.4037e-15,-9.23402e-14,9.28687e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0791983
Basler_acA2040-35gm__23324651__20250529_163603290_0007.tiff,9.94077e-16,-9.03049e-15,3.93677e-14,4.04024e-14,-155.563,1,1,1,1,0.0789659
Basler_acA2040-35gm__23324651__20250529_163603290_0007.tiff,9.94077e-16,-9.03049e-15,3.93677e-14,4.04024e-14,-155.563,8.74458e-19,8.74458e-19,8.74458e-19,8.74458e-19,0.0789659
Basler_acA2040-35gm__23324651__20250529_163603290_0007.tiff,9.94077e-16,-9.03049e-15,3.93677e-14,4.04024e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0789659
Basler_acA2040-35gm__23324651__20250529_163603290_0007.tiff,9.94077e-16,-9.03049e-15,3.93677e-14,4.04024e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0789659
Basler_acA2040-35gm__23324651__20250529_163603290_0008.tiff,-3.85514e-15,-8.54175e-15,-7.43797e-14,7.49678e-14,-155.563,-1,-1,-1,-1,0.0874878
Basler_acA2040-35gm__23324651__20250529_163603290_0008.tiff,-3.85514e-15,-8.54175e-15,-7.43797e-14,7.49678e-14,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.0874878
Basler_acA2040-35gm__23324651__20250529_163603290_0008.tiff,-3.85514e-15,-8.54175e-15,-7.43797e-14,7.49678e-14,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.0874878
Basler_acA2040-35gm__23324651__20250529_163603290_0008.tiff,-3.85514e-15,-8.54175e-15,-7.43797e-14,7.49678e-14,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.0874878
Basler_acA2040-35gm__23324651__20250529_163603290_0009.tiff,-2.8667e-15,-4.54097e-15,1.72829e-14,1.8098e-14,-155.563,1,1,1,1,0.0751757
